trm_id,mer_id,hea_id,request_status,request_type
7696,21043,12103554,EXPIRED,DOWNLOAD
7698,20923,9999079,EXPIRED,DOWNLOAD
7699,20787,22216451,EXPIRED,DOWNLOAD
7700,20907,4040098,EXPIRED,DOWNLOAD
7706,21104,4248040,EXPIRED,DOWNLOAD
7708,20985,2650237,EXPIRED,DOWNLOAD
7709,21003,19376710,EXPIRED,DOWNLOAD
7710,20815,10118529,EXPIRED,DOWNLOAD
7715,20851,6883974,EXPIRED,DOWNLOAD
7716,20828,13593551,EXPIRED,DOWNLOAD
7717,20890,1977467,EXPIRED,DOWNLOAD
7718,20816,19189695,EXPIRED,DOWNLOAD
7719,20965,12757033,EXPIRED,DOWNLOAD
7720,20740,7740144,EXPIRED,DOWNLOAD
7721,20966,19205388,EXPIRED,DOWNLOAD
7726,20952,9561733,EXPIRED,DOWNLOAD
7728,20909,5511508,EXPIRED,DOWNLOAD
7731,20817,19119991,EXPIRED,DOWNLOAD
7732,20853,6247782,EXPIRED,DOWNLOAD
7737,21026,20402716,EXPIRED,DOWNLOAD
7738,20988,24055061,EXPIRED,DOWNLOAD
7740,21124,25406222,EXPIRED,DOWNLOAD
7742,21161,20085442,EXPIRED,DOWNLOAD
7743,21142,17769215,EXPIRED,DOWNLOAD
7745,21162,18175891,EXPIRED,DOWNLOAD
7747,21005,1377475,EXPIRED,DOWNLOAD
7749,20789,17577683,EXPIRED,DOWNLOAD
7751,20855,17758576,EXPIRED,DOWNLOAD
7752,21143,18504251,EXPIRED,DOWNLOAD
7754,20790,4638752,EXPIRED,DOWNLOAD
7755,20856,8473074,EXPIRED,DOWNLOAD
7756,21181,19693077,EXPIRED,DOWNLOAD
7757,21066,5878781,EXPIRED,DOWNLOAD
7758,20830,22826790,EXPIRED,DOWNLOAD
7759,21125,19551203,EXPIRED,DOWNLOAD
7762,21049,19777782,EXPIRED,DOWNLOAD
7767,20891,8446843,EXPIRED,DOWNLOAD
7769,20857,19744772,EXPIRED,DOWNLOAD
7771,21183,17753324,EXPIRED,DOWNLOAD
7773,21163,2520874,EXPIRED,DOWNLOAD
7774,20968,7005110,EXPIRED,DOWNLOAD
7775,20791,8191770,EXPIRED,DOWNLOAD
7776,21006,22699634,EXPIRED,DOWNLOAD
7777,20819,5010142,EXPIRED,DOWNLOAD
7779,21221,15335773,EXPIRED,DOWNLOAD
7781,21202,25553891,EXPIRED,DOWNLOAD
7782,21106,8238861,EXPIRED,DOWNLOAD
7783,20820,8010422,EXPIRED,DOWNLOAD
7784,20858,19674844,EXPIRED,DOWNLOAD
7785,20969,20658276,EXPIRED,DOWNLOAD
7786,20832,12223600,EXPIRED,DOWNLOAD
7787,20955,10087705,EXPIRED,DOWNLOAD
7788,21107,20309893,EXPIRED,DOWNLOAD
7789,21126,22835755,EXPIRED,DOWNLOAD
7791,20792,21556233,EXPIRED,DOWNLOAD
7794,20793,25187259,EXPIRED,DOWNLOAD
7795,21007,19922546,EXPIRED,DOWNLOAD
7797,21008,22899767,EXPIRED,DOWNLOAD
7799,20794,6924793,EXPIRED,DOWNLOAD
