trm_id,mer_id,hea_id,request_status,request_type
6776,17963,9450138,COMPLETED,DOWNLOAD
6769,17983,23478627,COMPLETED,DOWNLOAD
6761,17962,24996467,COMPLETED,DOWNLOAD
6756,18002,25786849,COMPLETED,DOWNLOAD
6753,17981,18369298,COMPLETED,DOWNLOAD
6751,17941,24051639,COMPLETED,DOWNLOAD
6745,17861,2805578,COMPLETED,DOWNLOAD
6743,17821,4820698,COMPLETED,DOWNLOAD
6735,17761,22134624,COMPLETED,DOWNLOAD
6730,17623,22791011,COMPLETED,DOWNLOAD
6728,17662,1973000,COMPLETED,DOWNLOAD
6719,17383,25614336,COMPLETED,DOWNLOAD
6706,17401,12611912,COMPLETED,DOWNLOAD
6702,17361,486901,COMPLETED,DOWNLOAD
6696,17281,24946158,COMPLETED,DOWNLOAD
6676,16651,23168165,COMPLETED,DOWNLOAD
6670,17081,6905286,COMPLETED,DOWNLOAD
6665,16570,21920262,COMPLETED,DOWNLOAD
6663,16485,9972601,COMPLETED,DOWNLOAD
6660,16746,25514204,COMPLETED,DOWNLOAD
6656,17041,5324811,COMPLETED,DOWNLOAD
6653,16650,23518129,COMPLETED,DOWNLOAD
6647,16826,22471190,COMPLETED,DOWNLOAD
6639,16484,19049168,COMPLETED,DOWNLOAD
6638,16665,7809965,COMPLETED,DOWNLOAD
6626,16984,10298839,COMPLETED,DOWNLOAD
6616,16527,24165737,COMPLETED,DOWNLOAD
6614,16585,4881821,COMPLETED,DOWNLOAD
6610,16627,22564027,COMPLETED,DOWNLOAD
6602,16546,8016310,COMPLETED,DOWNLOAD
6586,16804,9713239,COMPLETED,DOWNLOAD
6552,16803,25022450,COMPLETED,DOWNLOAD
6546,16482,13812819,COMPLETED,DOWNLOAD
6525,16604,9775980,COMPLETED,DOWNLOAD
6521,16684,7517173,COMPLETED,DOWNLOAD
6506,16762,23681587,COMPLETED,DOWNLOAD
6502,16602,9528612,COMPLETED,DOWNLOAD
6495,16721,15531326,COMPLETED,DOWNLOAD
6489,16701,10116571,COMPLETED,DOWNLOAD
6470,16263,26147667,COMPLETED,DOWNLOAD
6466,16242,25907053,COMPLETED,DOWNLOAD
6457,16202,2293211,COMPLETED,DOWNLOAD
6450,16082,770265,COMPLETED,DOWNLOAD
6447,16061,770265,COMPLETED,DOWNLOAD
